Property,Value
Identifier,http://doi.org/10.26050/WDCC/MOMERGOMBSEMEP
# Comment: dropped `creator` for better readability,
Title,MOM-ERGOM western Baltic Sea simulations with tagging of atmospheric nitrogen deposition by EMEP
Publisher,World Data Center for Climate (WDCC) at DKRZ
PublicationYear,2019
ResourceType,Digital
ResourceType -> resourceTypeGeneral,Dataset
DataMaturityCheck -> maturityCheckMetricName,D4.1 Draft Recommendations on Requirements for Fair Datasets in Certified Repositories
DataMaturityCheck -> maturityCheckMetricType,Publication
DataMaturityCheck -> maturityCheckMetricIsMachineReadable,False
DataMaturityCheck -> maturityCheckMetricIdentifier,https://doi.org/10.5281/zenodo.3678716
DataMaturityCheck -> maturityCheckMetricVersion,1.0
DataMaturityCheck -> maturityCheckResult -> maturityCheckResultDate,2020-04-23T11:13:00
DataMaturityCheck -> maturityCheckResult -> maturityCheckResultIndicator,1.0
DataMaturityCheck -> maturityCheckResult -> maturityCheckResultIndicator -> maturityCheckResultIndicatorID,FsF-F1-01D
DataMaturityCheck -> maturityCheckResult -> maturityCheckResultIndicator -> maturityCheckResultIndicatorName,Universally unique identifier
DataMaturityCheck -> maturityCheckResult -> maturityCheckResultIndicator -> maturityCheckResultIndicatorUnit,none
DataMaturityCheck -> maturityCheckResult -> maturityCheckResultIndicator,1.0
DataMaturityCheck -> maturityCheckResult -> maturityCheckResultIndicator -> maturityCheckResultIndicatorID,FsF-F1-02D
DataMaturityCheck -> maturityCheckResult -> maturityCheckResultIndicator -> maturityCheckResultIndicatorName,Persistent identifier
DataMaturityCheck -> maturityCheckResult -> maturityCheckResultIndicator -> maturityCheckResultIndicatorUnit,none
# Comment: FAIRsFAIR Developed more metrics but for this example we only show two.,
