Property,Value
Identifier,http://doi.org/10.26050/WDCC/MOMERGOMBSEMEP
# Comment: dropped `creator` for better readability,
Title,MOM-ERGOM western Baltic Sea simulations with tagging of atmospheric nitrogen deposition by EMEP
Publisher,World Data Center for Climate (WDCC) at DKRZ
PublicationYear,2019
ResourceType,Digital
ResourceType -> resourceTypeGeneral,Dataset
MaturityCheck -> maturityCheckSchemaVersion,v7.0
MaturityCheck -> maturityCheckName,ARDC FAIR data assessment tool
MaturityCheck -> maturityCheckResourceType,web questionaire (Questionaire)
MaturityCheck -> maturityCheckIdentifier,https://ardc.edu.au/resources/working-with-data/fair-data/fair-self-assessment-tool/
MaturityCheck -> maturityCheckPerformedBy -> maturityCheckPerformedByName,"Neumann, Daniel"
MaturityCheck -> maturityCheckPerformedBy -> maturityCheckPerformedByIdentifier,https://orcid.org/0000-0001-8574-9093
MaturityCheck -> maturityCheckPerformedDate,2020-05-04
MaturityCheck -> maturityCheckMetric,
MaturityCheck -> maturityCheckMetric -> maturityCheckMetricName,Findable
MaturityCheck -> maturityCheckMetric -> maturityCheckMetricResult,0.95
MaturityCheck -> maturityCheckMetric -> maturityCheckMetricResult -> unit,relative
MaturityCheck -> maturityCheckMetric,
MaturityCheck -> maturityCheckMetric -> maturityCheckMetricName,Accessible
MaturityCheck -> maturityCheckMetric -> maturityCheckMetricResult,0.9
MaturityCheck -> maturityCheckMetric -> maturityCheckMetricResult -> unit,relative
MaturityCheck -> maturityCheckMetric,
MaturityCheck -> maturityCheckMetric -> maturityCheckMetricName,Interoperable
MaturityCheck -> maturityCheckMetric -> maturityCheckMetricResult,0.75
MaturityCheck -> maturityCheckMetric -> maturityCheckMetricResult -> unit,relative
MaturityCheck -> maturityCheckMetric,
MaturityCheck -> maturityCheckMetric -> maturityCheckMetricName,Reusable
MaturityCheck -> maturityCheckMetric -> maturityCheckMetricResult,0.85
MaturityCheck -> maturityCheckMetric -> maturityCheckMetricResult -> unit,relative
