ID;DataCite-Property;Occ;Definition;"allowed values, other constraints";comments;;;;;;;;;;;;;;;;;;;
99;DataMaturityCheck;0-n;;;;;;;;;;;;;;;;;;;;;;
99.1;maturityCheckMetricName;1;name of the metric;text;;;;;;;;;;;;;;;;;;;;
99.2;maturityCheckMetricType;0-1;type of the metric document;text;;;;;;;;;;;;;;;;;;;;
99.3;maturityCheckMetricIsMachineReadable;0-1;is the metric machine-readable / can it be automatically evaluated;yes/no;;;;;;;;;;;;;;;;;;;;
99.4;maturityCheckMetricIdentifier;0-1;PID to the metric definition;PID;;;;;;;;;;;;;;;;;;;;
99.4.a;maturityCheckMetricIdentifierScheme;1;Name of the identifier schema;text;;;;;;;;;;;;;;;;;;;;
99.4.b;schemeURI;0-1;URI of the name identfier schema;"URL, DOI, PID, URI";;;;;;;;;;;;;;;;;;;;
99.5;maturityCheckMetricVersion;1;version of the metric;text;"Commonly, more than one person/organization is involved -- but, at least one. Question: How to link data to publications when both were reviewer by the same process?";;;;;;;;;;;;;;;;;;;
99.6;maturityCheckPerformedBy;1-n;information on who performed the quality assurance;text;;;;;;;;;;;;;;;;;;;;
99.6.a;maturityCheckPerformedByType;1;function of person/organization in the context of this dataset;text;"controlled list of possible roles: data provider, creator, publisher, external reviewer, ...";;;;;;;;;;;;;;;;;;;
99.6.1;maturityCheckPerformedByName;1;name of person/organization;text;;;;;;;;;;;;;;;;;;;;
99.6.2;maturityCheckPerformedByID;1-n;ID of person/organization;text;"ROR, ISNI, re3data-ID, ...";;;;;;;;;;;;;;;;;;;
99.7;maturityCheckResult;1-n;result of the evaluation;;;;;;;;;;;;;;;;;;;;;
99.7.1;maturityCheckResultDate;1;date when the evaluation was performed;text;;;;;;;;;;;;;;;;;;;;
99.7.2;maturityCheckResultIdentifier;0-1;URI to a evaluation report or a similar document;text;;;;;;;;;;;;;;;;;;;;
99.7.2.a;maturityCheckResultIdentifierScheme;1;Name of the identifier schema;text;;;;;;;;;;;;;;;;;;;;
99.7.2.b;schemeURI;0-1;URI of the name identfier schema;text;;;;;;;;;;;;;;;;;;;;
99.7.3;maturityCheckResultIndicator;0-n;evaluation results of one indicator of the metric;text;for storing evaluation result in DataCite metadata;;;;;;;;;;;;;;;;;;;
99.7.3.a;maturityCheckResultIndicatorName;1;value of the evaluation;text;name of the metric within the metric schema;;;;;;;;;;;;;;;;;;;
99.7.3.b;maturityCheckResultIndicatorID;1;value of the evaluation;text;ID of the metric within the metric schema;;;;;;;;;;;;;;;;;;;
99.7.3.c;maturityCheckResultIndicatorUnit;1;unit of the value;text;;;;;;;;;;;;;;;;;;;;
